%-)	User has been staring at a green screen for 15 hours straight.  -)	User has been staring at a green screen for 15 hours straight.

RSN	Real soon now  SN	Real soon now

RTF	Read the FAQ  TF	Read the FAQ

RTSM	Read the stupid manual  TSM	Read the stupid manual

RUOK?	Are you okay?  UOK?	Are you okay?

RUTTM	Are you talking to me  UTTM	Are you talking to me

RVD	Really very dumb  VD	Really very dumb

S	Smile  	Smile

S2R	Send to receive  2R	Send to receive

SAMAGAL	Stop annoying me and get a live  AMAGAL	Stop annoying me and get a live

SCNR	Sorry, could not resist  CNR	Sorry, could not resist

SETE	Smiling ear to ear  ETE	Smiling ear to ear

SH	So hot  H	So hot

SHICPMP	So happy I could piss my pants  HICPMP	So happy I could piss my pants

SHID	Slaps head in disgust  HID	Slaps head in disgust

SHMILY	See how much I love you  HMILY	See how much I love you

SIM	Shit, it's Monday  IM	Shit, it's Monday

SITWB	Sorry, in the wrong box  ITWB	Sorry, in the wrong box

SNAFU	Situation normal, all fed up  NAFU	Situation normal, all fed up

SO	Significant other  O	Significant other

SOHF	Sense of humor failure  OHF	Sense of humor failure

SOMY	Sick of me yet?  OMY	Sick of me yet?

SPAM	Stupid persons' advertisement  PAM	Stupid persons' advertisement

SRY	Sorry  RY	Sorry

STW	Search the web  TW	Search the web

SWAK	Sealed with a kiss  WAK	Sealed with a kiss

SWALK	Sweet, with all love, kisses  WALK	Sweet, with all love, kisses

SWL	Screaming with laughter  WL	Screaming with laughter

SYS	See you soon  YS	See you soon

SYSOP	System operator  YSOP	System operator

T	Tickle  	Tickle

TA	Thanks again  A	Thanks again

TAFN	That's all for now  AFN	That's all for now

TBA	To be announced  BA	To be announced

TBH	To be honest  BH	To be honest

TCO	Taken care of  CO	Taken care of

TGIF	Thank god its Friday  GIF	Thank god its Friday

THTH	To hot to handle  HTH	To hot to handle

THX	Thanks  HX	Thanks

TIA	Thanks in advance  IA	Thanks in advance

TIIC	The idiots in charge  IIC	The idiots in charge

TJM	That's just me  JM	That's just me

TLA	Three-letter acronym  LA	Three-letter acronym

TMA	Take my advice  MA	Take my advice

TMI	To much information  MI	To much information

TNSTAAFL	There's no such thing as a free lunch  NSTAAFL	There's no such thing as a free lunch

TNX	Thanks  NX	Thanks

TOH	To other half  OH	To other half

TOY	Thinking of you  OY	Thinking of you

TPTB	The powers that be  PTB	The powers that be

TSDMC	Tears streaming down my cheeks  SDMC	Tears streaming down my cheeks

TT2T	To tired to talk  T2T	To tired to talk

TTFN	Ta ta for now  TFN	Ta ta for now

TTT	Thought that, too  TT	Thought that, too

TTUL	Talk to you later  TUL	Talk to you later

TTYL	Talk to you later  TYL	Talk to you later

TTYLMF	Talk to you later my friend  TYLMF	Talk to you later my friend

TU	Thank you  U	Thank you

TWMA	Till we meet again  WMA	Till we meet again

TX	Thanx  X	Thanx

TY	Thank you  Y	Thank you

TYVM	Thank you very much  YVM	Thank you very much

U2	You too  2	You too

UR	Your  R	Your

URAQT!	You are a cutie!  RAQT!	You are a cutie!

UW	You're welcom  W	You're welcom

VBG	Very big grin  BG	Very big grin

VBS	Very big smile  BS	Very big smile

W	Wink  	Wink

W/E	Whatever  /E	Whatever

W8	Wait  8	Wait

W8AM	Wait a minute  8AM	Wait a minute

WAY	Who are you  AY	Who are you

WB	Welcome back  B	Welcome back

WBS	Write back soon  BS	Write back soon

WDHLM	Why doesn't he love me  DHLM	Why doesn't he love me

WE	Whatever  E	Whatever

WFM	Works for me  FM	Works for me

WNDITWB	We never did it this way before  NDITWB	We never did it this way before

WP	Wrong person  P	Wrong person

WRT	With respect to  RT	With respect to

WTF	What/who the fool?  TF	What/who the fool?

WTG	Way to go  TG	Way to go

WTGP	Want to go private?  TGP	Want to go private?

WTH	What/who the heck?  TH	What/who the heck?

WTMI	Way to much information  TMI	Way to much information

WU	What's up?  U	What's up?

WU?	What's up?  U?	What's up?

WUD	What's up dog?  UD	What's up dog?

WUF	Where are you from?  UF	Where are you from?

WUWT	Whats up with that  UWT	Whats up with that

WYMM	Will you marry me?  YMM	Will you marry me?

WYSIWYG	What you see is what you get  YSIWYG	What you see is what you get

X-(	Net.suicide  -(	Net.suicide

XTLA	Extended three letter acronym  TLA	Extended three letter acronym

Y	Why?  	Why?

Y2K	You're too kind  2K	You're too kind

YATB	You are the best  ATB	You are the best

YBS	You'll be sorry  BS	You'll be sorry

YG	Young gentleman  G	Young gentleman

YHBBYBD	You'd have better bet your bottom dollar  HBBYBD	You'd have better bet your bottom dollar

YL	You 'll live  L	You 'll live

YM	You mean  M	You mean

YMMD	You've made my day  MMD	You've made my day

YMMV	Your mileage may vary  MMV	Your mileage may vary

YOYO	You're on your own  OYO	You're on your own

YT?	You there?  T?	You there?

YVW	You're very welcome  VW	You're very welcome

YW	You are welcome  W	You are welcome

YWIA	You're welcome in advance  WIA	You're welcome in advance

YWTKM	You want to kiss me  WTKM	You want to kiss me

YWTLM	You want to love me  WTLM	You want to love me

YY4U	Two wise for you  Y4U	Two wise for you

[:-)	User is wearing a walkman.  :-)	User is wearing a walkman.

[:]	User is a robot.  :]	User is a robot.

[]	Hugs and ...  ]	Hugs and ...

^-^	Satisfied Smile  -^	Satisfied Smile

^-~	Wink  -~	Wink

^_-	Wink  _-	Wink

^_^	Smile  _^	Smile

^o	Snoring.  o	Snoring.

`:-)	User shaved one of his eyebrows off this morning.  :-)	User shaved one of his eyebrows off this morning.

d8=	Your pet beaver is wearing goggles and a hard hat.  8=	Your pet beaver is wearing goggles and a hard hat.

n00b	Leetspeak for beginner  00b	Leetspeak for beginner

{:-)	User wears a toupee.  :-)	User wears a toupee.

|-)	hee hee  -)	hee hee

|-D	ho ho  -D	ho ho

|-I	User is asleep.  -I	User is asleep.

|-O	User is yawning/snoring.  -O	User is yawning/snoring.

|I	Asleep.  I	Asleep.

}:-(	Toupee in an updraft.  :-(	Toupee in an updraft.

}:^#})	Updrafted bushy-mustached pointy nosed smiley with a double-chin.  :^#})	Updrafted bushy-mustached pointy nosed smiley with a double-chin.

~~:-(	Net.flame  ~:-(	Net.flame

